theme_id,theme_name,size,cohesion_pairwise_corr,A_symbols,B_symbols,top_outliers,rank_coverage
IND::Packaged Foods,Packaged Foods,9,0.1049,"TATACONSUM, NESTLEIND, ZYDUSWELL","DODLA, BECTORFOOD, HERITGFOOD","HERITGFOOD, DODLA, BECTORFOOD",rank_available
UNCLASSIFIED::B::B::B::A,Unclassified - Cluster A,9,0.2569,"INDGN, HEXT, SHAKTIPUMP","JUNIPER, SANATHAN, BHARTIHEXA","SANATHAN, BHARTIHEXA, JUNIPER",rank_available
UNCLASSIFIED::A::B,Unclassified - Cluster B,9,0.2701,"THELEELA, SPICEJET, MUTHOOTMF","PFOCUS, BAJAJHFL, NORTHARC","NORTHARC, BAJAJHFL, PFOCUS",rank_available
UNCLASSIFIED::B::B::B::B,Unclassified - Cluster B,9,0.1701,"NIVABUPA, AJAXENGG, SHARDAMOTR","SUNDRMFAST, ACMESOLAR, JSWHL","JSWHL, SUNDRMFAST, ACMESOLAR",rank_available
UNCLASSIFIED::B::B::A::A::B,Unclassified - Cluster B,9,0.1737,"IIFLCAPS, ITCHOTELS, KRBL","SKYGOLD, SMSPHARMA, TMPV","TMPV, SMSPHARMA, SKYGOLD",rank_available
IND::Commodity Chemicals,Commodity Chemicals,8,0.1481,"ACI, TIRUMALCHM","TATACHEM, NAVINFLUOR","NAVINFLUOR, TATACHEM, INDIAGLYCO",rank_available
IND::Defence,Defence,8,0.3124,"BDL, HAL","CONCOR, MTARTECH","MTARTECH, CONCOR, ZENTEC",rank_available
IND::Finance (including NBFCs)::B::A,Finance (including NBFCs) - Cluster A,8,0.1368,"M&MFIN, MUTHOOTFIN","SBFC, SPANDANA","SPANDANA, SBFC, RECLTD",rank_available
IND::Finance (including NBFCs)::B::B,Finance (including NBFCs) - Cluster B,8,0.2809,"CHOLAFIN, BAJFINANCE","MANAPPURAM, FUSION","FUSION, MANAPPURAM, CREDITACC",rank_available
IND::Forest Products,Forest Products,8,0.178,"CENTURYPLY, KMEW","GREENPLY, IXIGO","IXIGO, GREENPLY, STYLAMIND",rank_available
IND::Heavy Electrical Equipment::A,Heavy Electrical Equipment - Cluster A,8,0.0864,"CGPOWER, KIRLOSENG","BHEL, POWERINDIA","POWERINDIA, BHEL, TDPOWERSYS",rank_available
IND::Heavy Electrical Equipment::B,Heavy Electrical Equipment - Cluster B,8,0.1405,"SCHNEIDER, BANSALWIRE","VOLTAMP, AVALON","AVALON, VOLTAMP, THERMAX",rank_available
IND::Specialty Retail,Specialty Retail,8,-0.0129,"ETHOSLTD, AVL","BHARTIARTL, MANYAVAR","MANYAVAR, BHARTIARTL, PVRINOX",rank_available
IND::Textiles,Textiles,8,0.1488,"VTL, NITINSPIN","ICIL, GARFIBRES","GARFIBRES, ICIL, ARVIND",rank_available
UNCLASSIFIED::B::B::A::A::A,Unclassified - Cluster A,8,0.0619,"SWANCORP, ATHERENERG","IGIL, LAXMIDENTL","LAXMIDENTL, IGIL, CEMPRO",rank_available
IND::IT Software Products,IT Software Products,7,0.0202,"CENTUM, INTELLECT","TATATECH, OPTIEMUS","OPTIEMUS, TATATECH, CYIENTDLM",rank_available
IND::Oil Marketing & Distribution,Oil Marketing & Distribution,7,0.2562,"GULFOILLUB, OIL","IOC, PETRONET","PETRONET, IOC, AEGISLOG",rank_available
IND::Other Apparels & Accessories,Other Apparels & Accessories,7,0.0931,"SPAL, SAFARI","VIPIND, PAGEIND","PAGEIND, VIPIND, GOCOLORS",rank_available
IND::Plastic Products,Plastic Products,7,0.046,"SUPREMEIND, ASTRAL","TIMETECHNO, SHAILY","SHAILY, TIMETECHNO, PRINCEPIPE",rank_available
IND::Refineries/Petro-Products,Refineries/Petro-Products,7,0.2299,"GMDCLTD, CHENNPETRO","COALINDIA, MRPL","MRPL, COALINDIA, HINDPETRO",rank_available
IND::Utilities:Non-Electrical,Utilities:Non-Electrical,7,0.0668,"MGL, IGL","WABAG, IONEXCHANG","IONEXCHANG, WABAG, GUJGASLTD",rank_available
