theme_id,theme_name,size,cohesion_pairwise_corr,A_symbols,B_symbols,top_outliers
IND::Banks::A::A::B,Banks - Cluster B,3,0.4094,HDFCBANK,FEDERALBNK,"FEDERALBNK, KOTAKBANK, HDFCBANK"
IND::Cars & Utility Vehicles,Cars & Utility Vehicles - Cluster s,3,0.378,M&M,MARUTI,"MARUTI, FORCEMOT, M&M"
IND::Refineries/Petro-Products::A,Refineries/Petro-Products - Cluster A,3,0.3489,CHENNPETRO,RELIANCE,"RELIANCE, MRPL, CHENNPETRO"
IND::Pharmaceuticals::B::B::B::A,Pharmaceuticals - Cluster A,3,0.3488,JUBLPHARMA,SHILPAMED,"SHILPAMED, WOCKPHARMA, JUBLPHARMA"
IND::Other Industrial Goods::A,Other Industrial Goods - Cluster A,3,0.3312,HEG,RHIM,"RHIM, GRAPHITE, HEG"
IND::Healthcare Services::A,Healthcare Services - Cluster A,3,0.3276,KOVAI,THYROCARE,"THYROCARE, MEDIASSIST, KOVAI"
IND::IT Consulting & Software::A,IT Consulting & Software - Cluster A,3,0.3109,CAMS,RAMCOSYS,"RAMCOSYS, FSL, CAMS"
IND::Realty::B::B,Realty - Cluster B,3,0.3083,SHRIRAMPPS,ANANTRAJ,"ANANTRAJ, MAXESTATES, SHRIRAMPPS"
IND::IT Consulting & Software::B::A,IT Consulting & Software - Cluster A,3,0.3069,ADANIENT,REDINGTON,"REDINGTON, HAPPSTMNDS, ADANIENT"
IND::Marine Port & Services,Marine Port & Services - Cluster s,3,0.2623,ADANIPORTS,GPPL,"GPPL, JSWINFRA, ADANIPORTS"
IND::Auto Parts & Equipment::A,Auto Parts & Equipment - Cluster A,3,0.2315,GREAVESCOT,SANDHAR,"SANDHAR, SUNCLAY, GREAVESCOT"
IND::Other Apparels & Accessories::A,Other Apparels & Accessories - Cluster A,3,0.1436,KKCL,SAFARI,"SAFARI, VIPIND, KKCL"
IND::Realty::A,Realty - Cluster A,3,0.1278,NESCO,ARVSMART,"ARVSMART, MAHLIFE, NESCO"
IND::Fertilizers,Fertilizers - Cluster s,3,0.0865,COROMANDEL,CHAMBLFERT,"CHAMBLFERT, PARADEEP, COROMANDEL"
IND::Travel Support Services,Travel Support Services - Cluster s,3,0.0723,THOMASCOOK,YATRA,"YATRA, IRCTC, THOMASCOOK"
IND::Paper & Paper Products,Paper & Paper Products - Cluster s,3,0.06,WSTCSTPAPR,TCPLPACK,"TCPLPACK, JKPAPER, WSTCSTPAPR"
IND::Biotechnology,Biotechnology - Cluster y,3,-0.0003,CONCORDBIO,BIOCON,"BIOCON, ADVENZYMES, CONCORDBIO"
IND::Containers & Packaging,Containers & Packaging - Cluster g,3,-0.0072,EPL,GRWRHITECH,"GRWRHITECH, MOLDTKPAC, EPL"
IND::Exchange,Exchange - Cluster e,3,-0.0371,MCX,IEX,"IEX, BSE, MCX"
IND::Other Food Products,Other Food Products - Cluster s,3,-0.0979,AVANTIFEED,MANORAMA,"MANORAMA, EIDPARRY, AVANTIFEED"
