theme_id,theme_name,symbol,role,outlier_score,corr_with_theme_moves,med_abs_resid,rank_volatility,median_rank_norm,obs_months
IND::Other Food Products,Other Food Products - Cluster s,MANORAMA,B,1.1755,0.2264,0.0956,0.1947,0.1171,39
IND::Specialty Retail,Specialty Retail - Cluster l,ETHOSLTD,A,-0.8018,0.4307,0.1626,0.175,0.2416,50
IND::Specialty Retail,Specialty Retail - Cluster l,AVL,A,-0.7958,0.4913,0.1884,0.182,0.2336,39
IND::Specialty Retail,Specialty Retail - Cluster l,RAILTEL,Core,-0.3504,0.255,0.1129,0.2486,0.4371,46
IND::Specialty Retail,Specialty Retail - Cluster l,LANDMARK,Core,0.0146,0.3771,0.2716,0.2412,0.6352,50
IND::Specialty Retail,Specialty Retail - Cluster l,BHARTIARTL,Core,0.1387,0.0474,0.2817,0.085,0.1933,50
IND::Specialty Retail,Specialty Retail - Cluster l,SAREGAMA,Core,0.26,0.2922,0.2638,0.2667,0.5427,35
IND::Specialty Retail,Specialty Retail - Cluster l,PVRINOX,B,0.2937,0.2103,0.3367,0.1546,0.8215,49
IND::Specialty Retail,Specialty Retail - Cluster l,MANYAVAR,B,0.7381,0.1842,0.3986,0.1896,0.876,50
IND::2/3 Wheelers,2/3 Wheelers - Cluster s,TVSMOTOR,A,-0.5551,0.7261,0.0953,0.1265,0.1076,50
IND::2/3 Wheelers,2/3 Wheelers - Cluster s,HEROMOTOCO,Core,-0.5354,0.8193,0.0648,0.2642,0.3122,50
IND::2/3 Wheelers,2/3 Wheelers - Cluster s,BAJAJ-AUTO,Core,-0.1391,0.8286,0.0906,0.253,0.2195,50
IND::2/3 Wheelers,2/3 Wheelers - Cluster s,EICHERMOT,B,3.1985,0.5008,0.2059,0.2175,0.3149,50
IND::Personal Products,Personal Products - Cluster s,VENTIVE,A,-1.9603,0.8023,0.0899,0.1225,0.4577,11
IND::Personal Products,Personal Products - Cluster s,HINDUNILVR,A,-1.2609,0.6336,0.0985,0.1475,0.5922,50
IND::Personal Products,Personal Products - Cluster s,GODREJCP,A,-0.8942,0.5451,0.1008,0.1643,0.4776,50
IND::Personal Products,Personal Products - Cluster s,DABUR,Core,-0.8606,0.4816,0.0771,0.14,0.6295,50
IND::Personal Products,Personal Products - Cluster s,PGHH,Core,-0.1339,0.4232,0.1628,0.1762,0.6338,50
IND::Personal Products,Personal Products - Cluster s,MARICO,Core,0.0578,0.4201,0.1724,0.2222,0.4124,50
IND::Personal Products,Personal Products - Cluster s,EMAMILTD,Core,0.2342,0.4486,0.218,0.2402,0.5864,50
IND::Personal Products,Personal Products - Cluster s,BAJAJCON,Core,0.2634,0.3957,0.1613,0.2826,0.5585,49
IND::Personal Products,Personal Products - Cluster s,GILLETTE,Core,0.6471,0.2772,0.1968,0.2137,0.4322,50
IND::Personal Products,Personal Products - Cluster s,COLPAL,Core,0.7804,0.4054,0.2633,0.3002,0.5063,50
IND::Personal Products,Personal Products - Cluster s,JYOTHYLAB,B,0.7928,0.4481,0.2797,0.3277,0.5768,50
IND::Personal Products,Personal Products - Cluster s,HONASA,B,0.8401,0.1403,0.1285,0.2318,0.5942,31
IND::Personal Products,Personal Products - Cluster s,SHK,B,2.1293,-0.03,0.2669,0.2392,0.6722,39
IND::Household Appliances,Household Appliances - Cluster s,IFBIND,A,-0.7453,0.4939,0.0988,0.2727,0.5773,50
IND::Household Appliances,Household Appliances - Cluster s,NYKAA,A,-0.6782,0.5056,0.0884,0.2901,0.4839,50
IND::Household Appliances,Household Appliances - Cluster s,CROMPTON,Core,-0.1265,0.2506,0.1547,0.2556,0.7657,50
IND::Household Appliances,Household Appliances - Cluster s,CARYSIL,Core,-0.0833,0.5533,0.1705,0.2862,0.6577,48
IND::Household Appliances,Household Appliances - Cluster s,CARTRADE,B,1.0434,0.1324,0.1665,0.3495,0.3198,50
IND::Household Appliances,Household Appliances - Cluster s,BAJAJELEC,B,1.6985,-0.1351,0.3988,0.1802,0.9091,39
IND::Footwear,Footwear - Cluster r,BATAINDIA,A,-0.975,0.6306,0.0782,0.0959,0.7881,50
