theme_id,theme_label,theme_family,primary_size,total_size,secondary_additions,cohesion_primary,cohesion_with_secondary,dominant_sector,dominant_industry,sample_symbols
UNCLASSIFIED::B::A::B,Cross-sector · Group 1,Cross-sector,14,17,3,0.2809,0.2725,,,"AFCONS, BBOX, CARRARO, CEIGALL, DAMCAPITAL, DYNAMATECH, E2E, FIRSTCRY"
IND::Heavy Electrical Equipment::A,Heavy Electrical Equipment · Group 1,Heavy Electrical Equipment,8,17,9,0.0864,0.1753,Industrials,Heavy Electrical Equipment,"ABB, ASHOKA, BAJEL, BEML, BHEL, CGPOWER, CUMMINSIND, GESHIP"
IND::Other Industrial Products,Other Industrial Products,Other Industrial Products,12,17,5,0.1465,0.1877,Industrials,Other Industrial Products,"ASHOKLEY, BHARATFORG, CARBORUNIV, FINCABLES, GESHIP, GRINDWELL, GRSE, HAPPYFORGE"
IND::Banks::B::A,Banks · Group 3,Banks,4,16,12,0.3996,0.3016,Financial Services,Banks,"AUBANK, AXISBANK, BANDHANBNK, CANFINHOME, EQUITASBNK, FIVESTAR, IDBI, IDEA"
IND::Breweries & Distilleries,Breweries & Distilleries,Breweries & Distilleries,14,16,2,0.1412,0.1541,Consumer Defensive,Breweries & Distilleries,"ABDL, BALRAMCHIN, CCL, GLOBUSSPR, GODREJAGRO, GODREJCP, HINDUNILVR, LTFOODS"
UNCLASSIFIED::B::B::A::B::B,Cross-sector · Group 3,Cross-sector,12,16,4,,0.2349,,,"ABLBL, ANTHEM, ASHAPURMIN, BRIGHOTEL, CRIZAC, EBGNG, ELLEN, ENRIN"
IND::Finance (including NBFCs)::B::A,Finance (including Nbfcs) · Group 1,Finance (including Nbfcs),8,16,8,0.1368,0.2077,Financial Services,Finance (including NBFCs),"CHOLAFIN, ICICIGI, IDBI, M&MFIN, MANAPPURAM, MUTHOOTFIN, PFC, PNB"
IND::Other Electrical Equipment/Products::B,Other Electrical Equipment / Products · Group 1,Other Electrical Equipment / Products,12,16,4,0.1715,0.1565,Industrials,Other Electrical Equipment/Products,"3MINDIA, BBL, FINCABLES, GRAVITA, HAVELLS, HONAUT, KAYNES, KEI"
IND::Pharmaceuticals::B::B,Pharmaceuticals · Group 1,Pharmaceuticals,14,16,2,0.148,0.1365,Healthcare,Pharmaceuticals,"ABBOTINDIA, ANUP, ASTRAZEN, CAPLIPOINT, GLAND, GLAXO, GUFICBIO, IPCALAB"
IND::Pharmaceuticals::B::A::B::B,Pharmaceuticals · Group 2,Pharmaceuticals,13,16,3,0.2383,0.2329,Healthcare,Pharmaceuticals,"AJANTPHARM, ALKEM, ARTEMISMED, AUROPHARMA, DRREDDY, ERIS, GLENMARK, GRANULES"
IND::Shipping,Shipping,Shipping,4,16,12,0.3125,0.2345,Industrials,Shipping,"3MINDIA, ARE&M, BDL, BEL, BEML, DATAPATTNS, ENGINERSIN, GESHIP"
IND::2/3 Wheelers,2 / 3 Wheelers,2 / 3 Wheelers,4,15,11,0.4637,0.2372,Consumer Cyclical,2/3 Wheelers,"AVL, BAJAJ-AUTO, EICHERMOT, HEROMOTOCO, MARUTI, METROBRAND, MINDACORP, MOTHERSON"
