Symbol,Theme,source,confidence,sector_mode,industry_mode,debug_theme,locked,rank_move_corr,rank_resid,rank_obs,needs_review,review_reasons,review_priority,ff_mcap_med
NIITMTS,Consumer Defensive - Diversified,industry_mode|tiny_to_sector,0.65,Consumer Defensive,Education,,False,0.1142203240248346,0.205,32,True,low_fundamental_confidence,35.0,3575.13
TRIVENI,Consumer Defensive - Diversified,industry_mode|tiny_to_sector,0.65,Consumer Defensive,Sugar,,False,0.7001182971159651,0.065,50,True,low_fundamental_confidence,35.0,3213.77
VBL,Consumer Defensive - Diversified,industry_mode|tiny_to_sector,0.65,Consumer Defensive,Non-alcoholic Beverages,,False,0.3235368105118075,0.2975,50,True,low_fundamental_confidence;rank_residual_flag,41.0,64546.26
VSTIND,Consumer Defensive - Diversified,industry_mode|tiny_to_sector,0.65,Consumer Defensive,Cigarettes-Tobacco Products,,False,0.0163102799503295,0.1775,50,True,low_fundamental_confidence,35.0,2704.54
EMIL,Consumer Durables & Electronics,industry_mode,0.78,Consumer Cyclical,Consumer Electronics,,False,0.3558692621580778,0.225,50,True,rank_residual_flag,28.0,1219.8
ORIENTELEC,Consumer Durables & Electronics,industry_mode,0.92,Consumer Cyclical,Consumer Electronics,,False,0.4985328289069009,0.105,50,False,,8.0,2349.8
SYMPHONY,Consumer Durables & Electronics,industry_mode,0.92,Consumer Cyclical,Consumer Electronics,,False,0.4828127947988136,0.14,50,False,,8.0,1688.5
WHIRLPOOL,Consumer Durables & Electronics,industry_mode,0.92,Consumer Cyclical,Consumer Electronics,,False,0.7485236645514275,0.0825,50,False,,8.0,5946.46
EPL,Containers & Packaging,industry_mode,0.92,Consumer Cyclical,Containers & Packaging,,False,0.8545969380757942,0.0,50,False,,8.0,4523.46
GRWRHITECH,Containers & Packaging,industry_mode,0.92,Basic Materials,Containers & Packaging,,False,0.1169225679317133,0.315,50,True,rank_residual_flag,14.0,2754.58
MOLDTKPAC,Containers & Packaging,industry_mode,0.92,Consumer Cyclical,Containers & Packaging,,False,0.1947564144809788,0.19,50,False,,8.0,1216.29
BLUESTARCO,Cooling & Air-Conditioning,theme_park_manual,0.94,Industrials,Consumer Electronics,AIRCON,False,0.8030254355241019,0.0675,50,False,,6.0,23743.29
VOLTAS,Cooling & Air-Conditioning,theme_park_manual,0.94,Industrials,Consumer Electronics,AIRCON,False,0.8062577304528111,0.0675,50,False,,6.0,30669.24
DODLA,Dairy,theme_park_manual,0.94,Consumer Defensive,Packaged Foods,,False,0.3956690174529009,0.13,50,False,,6.0,2936.25
HATSUN,Dairy,theme_park_manual,0.94,Consumer Defensive,Packaged Foods,,False,0.3015231287684745,0.15,50,False,,6.0,5260.42
HERITGFOOD,Dairy,theme_park_manual,0.94,Consumer Defensive,Packaged Foods,,False,0.4622358706032826,0.045,50,False,,6.0,1955.52
ANANTRAJ,Data Centers & Digital Infra,theme_park_manual,0.94,Real Estate,Realty,Data Centers,False,0.4276706325212094,0.0775,40,False,,6.0,7731.06
MTARTECH,Data Centers & Digital Infra,theme_park_manual,0.94,Industrials,Defence,Data Centers,False,0.4286541305586115,0.2425,50,True,rank_residual_flag,12.0,6260.32
NETWEB,Data Centers & Digital Infra,theme_park_manual,0.94,Technology,IT Consulting & Software,Data Centers,False,0.6941099914627142,0.1275,32,False,,6.0,5162.33
