Symbol,Theme,source,confidence,sector_mode,industry_mode,debug_theme,locked,rank_move_corr,rank_resid,rank_obs,needs_review,review_reasons,review_priority
RAILTEL,Communication Services - Diversified,industry_mode|tiny_to_sector,0.65,Communication Services,Telecom Services,,False,0.4634971581687371,0.105,46,True,low_fundamental_confidence,35.0
SUNTV,Communication Services - Diversified,industry_mode|tiny_to_sector,0.65,Communication Services,Broadcasting & Cable TV,,False,0.5563994182172753,0.0375,50,True,low_fundamental_confidence,35.0
ZEEL,Communication Services - Diversified,industry_mode|tiny_to_sector,0.65,Communication Services,Broadcasting & Cable TV,,False,0.6200204991226249,0.215,50,True,low_fundamental_confidence,35.0
ADANIENT,Conglomerates - Adani,theme_park_manual,0.94,Energy,Commodity Trading & Distribution,Infra,False,0.7363411868484867,0.135,31,False,,6.0
ADANIPORTS,Conglomerates - Adani,theme_park_manual,0.94,Industrials,Marine Port & Services,Infra,False,0.9063864529131688,0.06,50,False,,6.0
CARYSIL,Consumer Cyclical - Diversified,industry_mode|tiny_to_sector,0.65,Consumer Cyclical,Household Products,,False,0.5114382120468938,0.2325,48,True,low_fundamental_confidence;rank_residual_flag,41.0
MAHSCOOTER,Consumer Cyclical - Diversified,industry_mode|tiny_to_sector,0.65,Consumer Cyclical,Investment Companies,,False,0.4167465826077228,0.15,50,True,low_fundamental_confidence,35.0
SENCO,Consumer Cyclical - Diversified,industry_mode|tiny_to_sector,0.65,Consumer Cyclical,Gems & Jewellery,,False,0.558692251236421,0.1875,32,True,low_fundamental_confidence,35.0
THOMASCOOK,Consumer Cyclical - Diversified,industry_mode|tiny_to_sector,0.65,Consumer Cyclical,Travel Support Services,,False,0.6158701902957054,0.14,50,True,low_fundamental_confidence,35.0
AVANTIFEED,Consumer Defensive - Diversified,industry_mode|tiny_to_sector,0.65,Consumer Defensive,Other Food Products,,False,0.1925875638308982,0.1675,50,True,low_fundamental_confidence,35.0
BALRAMCHIN,Consumer Defensive - Diversified,industry_mode|tiny_to_sector,0.65,Consumer Defensive,Sugar,,False,0.505717500573803,0.09,50,True,low_fundamental_confidence,35.0
CCL,Consumer Defensive - Diversified,industry_mode|tiny_to_sector,0.65,Consumer Defensive,Tea & Coffee,,False,0.3738573098745925,0.105,50,True,low_fundamental_confidence,35.0
NIITMTS,Consumer Defensive - Diversified,industry_mode|tiny_to_sector,0.65,Consumer Defensive,Education,,False,0.1142203240248346,0.205,32,True,low_fundamental_confidence,35.0
TRIVENI,Consumer Defensive - Diversified,industry_mode|tiny_to_sector,0.65,Consumer Defensive,Sugar,,False,0.7001182971159651,0.065,50,True,low_fundamental_confidence,35.0
VBL,Consumer Defensive - Diversified,industry_mode|tiny_to_sector,0.65,Consumer Defensive,Non-alcoholic Beverages,,False,0.3235368105118075,0.2975,50,True,low_fundamental_confidence;rank_residual_flag,41.0
VSTIND,Consumer Defensive - Diversified,industry_mode|tiny_to_sector,0.65,Consumer Defensive,Cigarettes-Tobacco Products,,False,0.0163102799503295,0.1775,50,True,low_fundamental_confidence,35.0
EMIL,Consumer Durables & Electronics,industry_mode,0.78,Consumer Cyclical,Consumer Electronics,,False,0.3558692621580778,0.225,50,True,rank_residual_flag,28.0
