Symbol,sector_mode,sector_obs,sector_mode_share,industry_mode,industry_obs,industry_mode_share,industry_variants,debug_theme,has_sector,has_industry,has_debug
GROWW,,0,0.0,,0,0.0,0,,False,False,False
GRSE,Industrials,23,1.0,Shipping,23,1.0,1,,True,True,False
GRWRHITECH,Basic Materials,27,1.0,Containers & Packaging,27,1.0,1,,True,True,False
GSPL,Utilities,27,1.0,Utilities:Non-Electrical,27,1.0,1,,True,True,False
GUFICBIO,Healthcare,15,1.0,Pharmaceuticals,15,1.0,1,,True,True,False
GUJGASLTD,Utilities,27,1.0,Utilities:Non-Electrical,27,1.0,1,,True,True,False
GULFOILLUB,Basic Materials,27,1.0,Oil Marketing & Distribution,27,1.0,1,,True,True,False
GVT&D,,0,0.0,,0,0.0,0,Power Equip,False,False,True
HAL,Industrials,27,1.0,Defence,27,1.0,1,Defense (large),True,True,True
HAPPSTMNDS,Technology,27,1.0,IT Consulting & Software,27,1.0,1,,True,True,False
HAPPYFORGE,Industrials,9,1.0,Other Industrial Products,9,1.0,1,,True,True,False
HATSUN,Consumer Defensive,27,1.0,Packaged Foods,27,1.0,1,,True,True,False
HAVELLS,Industrials,27,1.0,Other Electrical Equipment/Products,27,1.0,1,,True,True,False
HCG,Healthcare,27,1.0,Healthcare Facilities,27,1.0,1,Hospitals,True,True,True
HCLTECH,Technology,27,1.0,IT Consulting & Software,27,1.0,1,,True,True,False
HDBFS,,0,0.0,,0,0.0,0,,False,False,False
HDFCAMC,Financial Services,27,1.0,Asset Management Cos.,27,1.0,1,,True,True,False
HDFCBANK,Financial Services,27,1.0,Banks,27,1.0,1,Pvt Banks,True,True,True
HDFCLIFE,Financial Services,27,1.0,Life Insurance,27,1.0,1,Insurance,True,True,True
HEG,Industrials,26,1.0,Other Industrial Goods,26,1.0,1,Electrodes,True,True,True
HERITGFOOD,Consumer Defensive,27,1.0,Packaged Foods,27,1.0,1,,True,True,False
HEROMOTOCO,Consumer Cyclical,27,1.0,2/3 Wheelers,27,1.0,1,2w,True,True,True
HEXT,,0,0.0,,0,0.0,0,,False,False,False
HGINFRA,Industrials,27,1.0,Construction & Engineering,27,1.0,1,,True,True,False
HIKAL,Healthcare,27,1.0,Pharmaceuticals,27,1.0,1,,True,True,False
HINDALCO,Basic Materials,27,1.0,Aluminium and Aluminium Products,27,1.0,1,Metal Mines,True,True,True
HINDCOPPER,Basic Materials,27,1.0,Copper,27,1.0,1,Metal Mines,True,True,True
HINDPETRO,Energy,27,1.0,Refineries/Petro-Products,27,1.0,1,,True,True,False
HINDUNILVR,Consumer Defensive,27,1.0,Personal Products,27,1.0,1,,True,True,False
HINDZINC,Basic Materials,4,1.0,Zinc,4,1.0,1,Metal Mines,True,True,True
HITECH,Basic Materials,27,1.0,Iron & Steel Products,27,1.0,1,,True,True,False
HOMEFIRST,Financial Services,27,1.0,Housing Finance,27,1.0,1,Housing Fin,True,True,True
HONASA,Consumer Defensive,9,1.0,Personal Products,9,1.0,1,,True,True,False
HONAUT,Industrials,27,1.0,Other Electrical Equipment/Products,27,1.0,1,,True,True,False
HUDCO,Financial Services,15,1.0,Housing Finance,15,1.0,1,,True,True,False
HYUNDAI,,0,0.0,,0,0.0,0,,False,False,False
ICICIAMC,,0,0.0,,0,0.0,0,,False,False,False
ICICIBANK,Financial Services,27,1.0,Banks,27,1.0,1,Pvt Banks,True,True,True
ICICIGI,Financial Services,27,1.0,General Insurance,27,1.0,1,Insurance,True,True,True
ICICIPRULI,Financial Services,27,1.0,Life Insurance,27,1.0,1,Insurance,True,True,True
ICIL,Consumer Cyclical,15,1.0,Textiles,15,1.0,1,,True,True,False
ICRA,Financial Services,27,1.0,Other Financial Services,27,1.0,1,,True,True,False
IDBI,Financial Services,2,1.0,Banks,2,1.0,1,,True,True,False
IDEA,,0,0.0,,0,0.0,0,Telecom,False,False,True
IDFCFIRSTB,Financial Services,27,1.0,Banks,27,1.0,1,Pvt Banks,True,True,True
IEX,Financial Services,27,1.0,Exchange,27,1.0,1,Exchanges,True,True,True
IFBIND,Consumer Cyclical,27,1.0,Household Appliances,27,1.0,1,,True,True,False
IGIL,,0,0.0,,0,0.0,0,,False,False,False
IGL,Utilities,27,1.0,Utilities:Non-Electrical,27,1.0,1,,True,True,False
IIFL,Financial Services,27,1.0,Other Financial Services,27,1.0,1,GOLD,True,True,True
IIFLCAPS,,0,0.0,,0,0.0,0,,False,False,False
IKS,,0,0.0,,0,0.0,0,,False,False,False
IMFA,Basic Materials,15,1.0,Iron & Steel/Interm.Products,15,1.0,1,,True,True,False
INDGN,,0,0.0,,0,0.0,0,,False,False,False
INDHOTEL,Consumer Cyclical,27,1.0,Hotels,27,1.0,1,HOTELS,True,True,True
INDIACEM,Basic Materials,10,1.0,Cement & Cement Products,10,1.0,1,,True,True,False
INDIAGLYCO,Basic Materials,21,1.0,Commodity Chemicals,21,1.0,1,,True,True,False
INDIAMART,Communication Services,27,1.0,Internet Software & Services,27,1.0,1,,True,True,False
INDIANB,Financial Services,27,1.0,Banks,27,1.0,1,PSU Bank,True,True,True
INDIASHLTR,Financial Services,9,1.0,Housing Finance,9,1.0,1,Housing Fin,True,True,True
INDIGO,Industrials,27,1.0,Airlines,27,1.0,1,Travel,True,True,True
INDIGOPNTS,Basic Materials,27,1.0,Furniture-Furnishing-Paints,27,1.0,1,,True,True,False
INDIQUBE,,0,0.0,,0,0.0,0,,False,False,False
INDUSINDBK,Financial Services,27,1.0,Banks,27,1.0,1,Pvt Banks,True,True,True
INDUSTOWER,Communication Services,24,1.0,Other Telecom Services,24,1.0,1,Telecom,True,True,True
INFY,Technology,27,1.0,IT Consulting & Software,27,1.0,1,,True,True,False
INGERRAND,Industrials,27,1.0,Industrial Machinery,27,1.0,1,,True,True,False
INOXGREEN,Utilities,27,1.0,Electric Utilities,27,1.0,1,Wind,True,True,True
INOXINDIA,Industrials,9,1.0,Other Industrial Products,9,1.0,1,,True,True,False
INOXWIND,Industrials,21,1.0,Electric Utilities,21,1.0,1,Wind,True,True,True
INTELLECT,,0,0.0,IT Software Products,27,1.0,1,,False,True,False
INTERARCH,,0,0.0,,0,0.0,0,,False,False,False
IOC,Energy,27,1.0,Oil Marketing & Distribution,27,1.0,1,,True,True,False
IONEXCHANG,Industrials,27,1.0,Utilities:Non-Electrical,27,1.0,1,,True,True,False
IPCALAB,Healthcare,27,1.0,Pharmaceuticals,27,1.0,1,,True,True,False
IRB,Industrials,27,1.0,Roads & Highways,27,1.0,1,,True,True,False
IRCTC,Industrials,27,1.0,Travel Support Services,27,1.0,1,Travel,True,True,True
IRFC,Financial Services,23,1.0,Finance (including NBFCs),23,0.5652173913043478,2,,True,True,False
ISGEC,Industrials,27,1.0,Industrial Machinery,27,1.0,1,,True,True,False
ITC,Consumer Defensive,27,1.0,Cigarettes-Tobacco Products,27,1.0,1,FMCG,True,True,True
ITCHOTELS,,0,0.0,,0,0.0,0,,False,False,False
IXIGO,,0,0.0,,0,0.0,0,Travel,False,False,True
J&KBANK,Financial Services,27,1.0,Banks,27,1.0,1,,True,True,False
JAINREC,,0,0.0,,0,0.0,0,,False,False,False
JAMNAAUTO,Consumer Cyclical,27,1.0,Auto Parts & Equipment,27,1.0,1,,True,True,False
JBCHEPHARM,Healthcare,27,1.0,Pharmaceuticals,27,1.0,1,Pharma,True,True,True
JINDALSAW,Basic Materials,23,1.0,Other Industrial Products,23,1.0,1,,True,True,False
JINDALSTEL,Basic Materials,27,1.0,Iron & Steel/Interm.Products,27,1.0,1,Steel,True,True,True
JIOFIN,Financial Services,10,1.0,Finance (including NBFCs),10,1.0,1,,True,True,False
JKCEMENT,Basic Materials,27,1.0,Cement & Cement Products,27,1.0,1,Cement,True,True,True
JKLAKSHMI,Basic Materials,27,1.0,Cement & Cement Products,27,1.0,1,Cement,True,True,True
JKPAPER,Basic Materials,27,1.0,Paper & Paper Products,27,1.0,1,,True,True,False
JKTYRE,Consumer Cyclical,15,1.0,Auto Tyres & Rubber Products,15,1.0,1,,True,True,False
JLHL,Healthcare,9,1.0,Healthcare Facilities,9,1.0,1,,True,True,False
JMFINANCIL,Financial Services,27,1.0,Holding Companies,27,1.0,1,Misc Financials,True,True,True
JSL,Basic Materials,27,1.0,Iron & Steel/Interm.Products,27,1.0,1,,True,True,False
JSWCEMENT,,0,0.0,,0,0.0,0,,False,False,False
JSWENERGY,Utilities,27,1.0,Electric Utilities,27,1.0,1,,True,True,False
JSWHL,,0,0.0,,0,0.0,0,,False,False,False
JSWINFRA,Industrials,9,1.0,Marine Port & Services,9,1.0,1,,True,True,False
JSWSTEEL,Basic Materials,27,1.0,Iron & Steel/Interm.Products,27,1.0,1,Steel,True,True,True
JTEKTINDIA,Consumer Cyclical,27,1.0,Auto Parts & Equipment,27,1.0,1,,True,True,False
JUBLFOOD,Consumer Cyclical,27,1.0,Restaurants,27,1.0,1,,True,True,False
JUBLINGREA,Basic Materials,27,0.7777777777777778,Specialty Chemicals,27,1.0,1,Pharma,True,True,True
JUBLPHARMA,Healthcare,13,1.0,Pharmaceuticals,13,1.0,1,Pharma,True,True,True
JUNIPER,,0,0.0,,0,0.0,0,,False,False,False
JUSTDIAL,Communication Services,27,1.0,Internet Software & Services,27,1.0,1,,True,True,False
JYOTHYLAB,Consumer Defensive,27,1.0,Personal Products,27,1.0,1,,True,True,False
JYOTICNC,Industrials,7,1.0,Industrial Machinery,7,1.0,1,Engineering,True,True,True
KAJARIACER,Industrials,27,1.0,Furniture-Furnishing-Paints,27,1.0,1,,True,True,False
KALYANKJIL,Consumer Cyclical,27,1.0,Gems & Jewellery,27,1.0,1,Jewellery,True,True,True
KANSAINER,Basic Materials,27,1.0,Furniture-Furnishing-Paints,27,1.0,1,,True,True,False
KARURVYSYA,Financial Services,27,1.0,Banks,27,1.0,1,Pvt Banks,True,True,True
KAYNES,Industrials,27,1.0,Other Electrical Equipment/Products,27,1.0,1,EMS,True,True,True
