symbol,ptile,cmp,ff_mcap,52w Index,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
SENCO,39,495.4,2909.81046,35.6,-0.79,28.74,8107.58,64.11,51,39,28,116.929461
SBIN,39,766,290944.256,46.76,-3.97,17.91,683449.04,57.43,36,44,38,118.410624
ASHIANA,40,356.1,1395.56376,43.58,-3.31,16.56,3588.49,61.11,40,43,39,121.983852
DEVYANI,40,181.86,8180.59645,49.33,1.06,5.12,21943.66,62.72,33,36,52,121.086471
LALPATHLAB,40,2861.6,11029.8947,53.68,-9.68,16.65,23931.21,53.91,29,54,39,121.86154
EMUDHRA,40,714.7,2701.1844,45.31,-15.03,55.27,5923.65,54.4,38,66,15,120.133492
GLOBUSSPR,40,931.7,1324.78,38.42,3.49,15.8,2695.93,50.86,48,33,40,119.943984
FLUOROCHEM,40,3569.65,14671.308,45.47,8.98,0.48,39207.13,62.58,38,26,57,120.83348
IXIGO,40,157.83,6139.85,49.63,-3.65,NA,6139.85,0,33,44,44,119.676369
NUVOCO,40,342.7,3425.1661,54.48,4.82,-4.81,12241.48,72.02,28,31,63,121.641634
PRUDENT,40,2015.85,3697.30915,33.95,-8.14,51.6,8349.84,55.72,52,51,16,120.197231
RAMCOSYS,40,364.3,633.277367,39.18,9.48,7.19,1358.09,53.37,46,25,50,121.670534
STARCEMENT,40,207.73,3555.03005,42.84,3.48,11.09,8402.34,57.69,42,33,45,119.48637
RAMCOCEM,40,896.8,12143.5895,54.67,10.88,-9.69,21211.51,42.75,28,24,68,120.017574
AMRUTANJAN,41,688.2,1067.41802,40.27,-3.19,19.97,1995.92,46.52,45,42,35,122.646799
PARKHOTELS,41,178.49,1216.39568,41.74,-1.44,NA,3817.94,68.14,43,40,40,123.040825
ARVIND,41,352.85,5580.58519,54.49,-8.61,13.11,9237.85,39.59,28,52,43,122.580064
CROMPTON,41,370,23849.97,48.82,-11.16,21.51,23849.97,0,34,57,34,125.262959
GRASIM,41,2440.75,91416.8368,48.6,-6.86,14.08,160690.52,43.11,34,49,42,124.840629
HAVELLS,41,1656.2,42134.1491,43.14,-7.45,23.48,103804.26,59.41,41,50,32,123.463876
IMFA,41,703.95,1567.65254,38.3,6.21,10.88,3794.85,58.69,48,29,46,122.522468
NATCOPHARM,41,1180.75,10637.344,43.5,-12.64,37.48,21114.22,49.62,41,60,23,124.035588
NITINSPIN,41,399.2,981.8472,52.83,-8.53,14.27,2257.12,56.5,30,52,41,123.056543
