symbol,ptile,cmp,ff_mcap,52w Index,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
MPSLTD,14,2671.6,1445.0890399999998,69.25,27.69,36.21,4564.4,68.34,26,10,19,54.72328653311074
PARAGMILK,14,221.8,1517.431773,85.29,17.83,26.61,2644.07,42.61,14,16,23,52.83691364840773
SOUTHBANK,14,30.79,8052.96,92.43,22.43,14.29,8052.96,0,8,13,34,54.14802274084053
THYROCARE,14,990.5,1519.08954,81.72,7.45,55.42,5249.1,71.06,16,29,11,56.18058169130316
TRANSRAILL,14,649.4,2518.3128959999995,79.73,14.96,NA,8719.92,71.12,18,19,19,55.263398193483894
UNIONBANK,14,153.6,29576.592931999992,91.28,24.82,12.37,117181.43,74.76,8,12,35,55.59994083536596
ALKYLAMINE,15,2368,3389.719415999999,86.79,30.81,10.82,12123.46,72.04,12,8,38,58.30966090787497
BERGEPAINT,15,592.65,17271.741348,80.74,29.36,17.54,69031.74,74.98,17,9,31,57.24636078111439
CEATLTD,15,3684,7868.935469000001,79.09,15.2,30.55,14906.11,47.21,19,18,21,58.05703329011521
COFORGE,15,1924.5,64323.04,91.21,-0.06,76.28,64323.04,0,9,41,8,57.25310787782057
HDFCBANK,15,2001.5,1535113.86,94.1,12.27,18.87,1535113.86,0,6,22,30,57.87547745893809
ICICIBANK,15,1445.8,1031973.9,91.9,12.63,20.52,1031973.9,0,8,21,28,57.78383161171868
SANGAMIND,15,487.15,733.4701840000001,88.24,15.88,19.08,2458.01,70.16,11,17,29,58.184769238246396
SHILPAMED,15,890.55,4873.264324,76.17,8.93,56.35,8736.58,44.22,22,26,11,58.85839760486896
SHREECEM,15,31030,41969.664485,89.38,21.67,11.34,112068.53,62.55,10,13,36,59.704982275785
SPLPETRO,15,865.45,5831.215128000002,85.03,29.46,13.11,16306.53,64.24,14,9,35,58.26542536484128
TDPOWERSYS,15,499.5,5202.035118000001,79.4,11.87,40.51,7789.81,33.22,18,23,17,58.40991863646957
UJJIVANSFB,15,49.03,9496.14,86.49,42.94,8.83,9496.14,0,13,5,40,57.23513689711734
VISHNU,15,533.55,1103.4735730000002,79.02,33.32,13.53,3583.87,69.21,19,7,34,60.11017962805039
BIRET,16,314.92,14122.232530000001,86.34,15.17,18.83,19200.86,26.45,13,18,30,61.03122195979539
EICHERMOT,16,5656.5,79095.303908,82.15,15.79,21.05,155332.49,49.08,16,18,27,60.8077408183106
FOSECOIND,16,4989.3,797.2798139999999,80.34,20.09,18.68,3186.57,74.98,17,15,30,61.78401030120557
HINDPETRO,16,438.05,42027.80604,88.71,6.23,31.9,93188.04,54.9,11,30,20,61.03406669587178
HCG,16,550.6,2204.5595120000003,69.94,13.53,44.89,7660.04,71.22,25,20,15,60.750119183665745
NBCC,16,122.72,12673.908000000001,75.21,32.03,17.28,33134.4,61.75,22,8,31,61.09440191451357
"NAM-INDIA",16,800.05,14072.276720000005,94.01,6.11,24.14,50839.15,72.32,6,30,25,61.803126932214624
RELTD,16,133.85,842.9270720000001,68.16,6.42,109.44,2392.64,64.77,27,30,4,61.53310573464213
SPIC,16,92.75,880.8382799999999,87.24,23.24,10.98,1889.4,53.38,12,12,37,61.57799360626983
SHYAMMETL,16,870.4,6185.449578,73.68,16.69,30.03,24342.58,74.59,23,17,21,60.944707630723116
SIRCA,16,380.8,678.24394,92.26,10.94,18.76,2090.12,67.55,8,24,30,61.704560453439925
SUDARSCHEM,16,1233.4,7378.301286000001,84.29,8.37,36.87,9694.26,23.89,15,27,18,60.39655033650485
ARKADE,17,194.44,1043.772422,86.35,9.75,NA,3610.42,71.09,13,25,25,63.62606608035186
ASTRAZEN,17,8908.5,5574.51,60.75,23.8,42.52,22298.04,75,35,12,16,63.64785173911281
BALAJITELE,17,87.42,711.8697299999999,80.23,13.59,24.69,1045.33,31.9,17,20,25,61.99440803612254
CSBBANK,17,394.3,4109.022,93.51,25.57,4.27,6848.37,40,7,11,44,62.346666106046364
ENDURANCE,17,2770.1,9743.845,96.18,22.41,3.43,38975.38,75,4,13,45,62.4432298416629
IOLCP,17,97.19,1352.0688460000001,79.32,18.11,20.39,2853.67,52.62,18,16,28,62.76827611437284
KOTAKBANK,17,2163.5,318822.87362800003,77.78,20.97,20.03,430144.19,25.88,21,14,29,63.571757108151445
MARICO,17,722.35,38367.353115000005,89.01,12.17,17.84,93693.17,59.05,11,22,31,63.654227800695
MOL,17,98.97,1272.151317,71.56,27.8,20.58,2514.63,49.41,24,10,28,62.06410916050207
