symbol,ptile,cmp,ff_mcap,52w Index,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
HCC,75,33.79,5121.403536,34.38,-21.09,-7.93,6149.62,16.72,65,82,68,214.91481274355135
HINDOILEXP,75,173.5,2293.89,19.15,-9.32,-8.66,2293.89,0,89,59,69,216.66041243558408
IREDA,75,174.73,11747.4775,21.81,-14.83,-3.62,46989.91,75,86,70,61,217.53029595610175
JBMA,75,717.15,5500.499175,33.5,-8.54,-29.68,16940.25,67.53,66,57,92,214.72579605424397
METROPOLIS,75,1680.1,4447.723559999999,36.39,-21.55,-12.51,8703.96,48.9,61,82,74,217.53883638966624
NETWEB,75,1999.1,3280.9654829999995,41.34,-27.31,-10.53,11325.39,71.03,54,91,72,216.39491999609248
OFSS,75,8462.5,20157.664847999997,23.23,-27.65,14.03,73541.28,72.59,84,91,42,217.26910867252235
ORIANA,75,1785.85,1525.138407,39.61,-17.78,-20.46,3628.69,57.97,57,76,84,216.50562644892136
PITTIENG,75,989.2,1705.5395320000002,26.92,-32.09,11.05,3722.26,54.18,78,94,45,216.8579719241262
TATAMOTORS,75,719.5,152090.09956799998,28.56,-8.51,-22.13,264873.04,42.58,75,56,86,217.69248594473416
THOMASCOOK,75,172.62,2939.553985,37.37,-17.19,-16.73,8127.05,63.83,60,75,79,214.01796858902742
3MINDIA,76,29275,8241.3225,23.29,-9.21,-13.9,32965.29,75,84,58,76,218.77695268088758
ARVSMART,76,671.6,1529.9633419999998,29.61,-32.69,5.8,3076.54,50.27,73,95,51,219.00608531450635
DDEVPLSTIK,76,275.45,713.08,25.57,-10.58,-13.22,2852.32,75,81,62,75,217.89923169481995
EMAMILTD,76,584.2,11522.22582,21.71,-14.59,-4.52,25519.88,54.85,87,69,63,219.25702560639533
HONAUT,76,38530,8515.93,25.91,-5.65,-26.07,34063.72,75,80,49,89,217.75452309948793
IRFC,76,138.95,24787.933807999998,25.54,-6.96,-21.32,181729.72,86.36,81,52,85,218.77956729244158
MRPL,76,144.04,2883.2987600000006,29.18,-6.81,-30.53,25247.8,88.58,74,52,93,218.67104853867338
"NATIONALUM",76,180.35,16143.995615999998,33.98,-25.52,-4.83,33136.28,51.28,66,88,64,218.22452099933523
RAJOOENG,76,131.76,728.7570810000002,16.14,-51.84,32.18,2151.63,66.13,93,100,26,218.2638599119557
RPTECH,76,308.1,738.6151080000001,27.45,-21.43,-1.85,2029.72,63.61,77,82,60,218.57387826906057
SATIN,76,155.67,1095.8717379999998,20.52,-1.7,-29.43,1716.86,36.17,88,39,92,218.5350648991856
SUPREMEIND,76,4146.2,26933.27802,32.53,-10.86,-24.67,52655.48,48.85,68,62,88,218.34846246735933
ACCELYA,77,1396.4,529.4793000000001,23.4,-10.48,-13.26,2089.5,74.66,84,62,75,220.5956239236097
ADFFOODS,77,235.99,1657.026508,24.82,-29.06,9.97,2594.78,36.14,82,92,47,221.24902004591218
PARKHOTELS,77,150.95,1027.297026,27.87,-14.12,-13.69,3224.41,68.14,76,68,76,219.5672934507246
BAJAJELEC,77,686.7,2954.313248,31.48,-10.49,-26,7924.66,62.72,69,62,89,220.19736078878395
