symbol,ptile,cmp,ff_mcap,52w Index,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
TTML,90,55.02,2755.8359160000005,12.88,-8.21,-34.89,10748.19,74.36,86,83,88,257.26186959023147
TEAMLEASE,90,1780.6,2042.439994,9.3,-2.63,-43.1,2986.46,31.61,90,71,95,256.9731607545399
TRIVENI,90,333.5,2847.2737920000004,12.34,-12.46,-29.87,7296.96,60.98,87,90,81,257.81791136813837
VBL,90,443.7,60366.657007999995,9.95,-18.51,-26.82,150240.56,59.82,90,95,75,259.59569553599863
AIAENG,91,3053.3,11934.7609,3.77,-8.66,-29.59,28758.46,58.5,97,84,80,260.747430901416
BRIGADE,91,896.05,12896.59203,13.27,-9.11,-36.77,21906.9,41.13,86,85,90,260.94735196269664
CLEAN,91,1098.6,2924.6929250000003,6.28,-9.01,-30.31,11684.75,74.97,95,84,82,260.6165941914447
CYIENT,91,1146.2,9783.948159999998,9.04,-5.76,-39.06,12752.8,23.28,91,78,93,261.2926288771241
IREDA,91,148.7,11783.306615999998,11.36,-7.93,-36.69,41725.59,71.76,88,82,90,260.9432756916129
JINDALPOLY,91,547.95,610.6167600000001,6.58,-22.73,-24.66,2399.28,74.55,94,97,71,261.4981344809628
JYOTHYLAB,91,315.25,4298.818689,15.47,-7.98,-43.5,11583.99,62.89,83,82,96,261.05293608319454
KPITTECH,91,1097.7,18227.19696,9.61,-9.36,-32.57,30102.72,39.45,90,85,85,260.23512432393187
PGEL,91,502.3,8022.714,6.32,-46.39,-21.89,14255,43.72,94,100,66,260.3457817009798
