symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
ZFCVINDIA,21,14376,10928.156,59.41,-2.82,6.31,27.81,27320.39,60,24,21,23,67.65224144097579
AIAENG,22,3674.5,14242.995050000001,55.9,-2.42,20.38,15.64,34320.47,58.5,27,11,33,71.2925262357357
CIEINDIA,22,463.95,6045.333839999999,63.34,11.84,17.81,13.13,17624.88,65.7,22,13,36,70.64022690972686
DELHIVERY,22,422.6,31658.47,73.41,4.45,-9.85,61.92,31658.47,0,15,44,10,68.70653754238704
DRREDDY,22,1303.8,79858.26548,78.9,2.24,2.82,14.36,108858.05,26.64,11,25,34,69.93001471062499
HONASA,22,290.8,6110.369155000001,69.9,5.76,-3.03,30.95,9480.79,35.55,18,33,21,71.11124282681976
THELEELA,22,433.85,3496.805631,56.2,9.08,5.61,NA,14515.59,75.91,27,21,21,69.29250604351331
MANINDS,22,405.95,1728.3979709999999,66.24,-8.33,-4.12,48.43,3043.49,43.21,20,35,14,69.15995747218007
MANORAMA,22,1352.1,3686.8876159999995,54.34,0.2,0.78,45.43,8071.12,54.32,28,28,15,70.86192160034437
RAJRATAN,22,395.8,699.48333,50.19,-11.43,18.84,19.67,2006.55,65.14,31,12,29,71.01167775914601
RAMRAT,22,352.85,1031.6268819999998,73.45,15.69,-5.1,38.22,3279.17,68.54,15,36,18,68.98896616715167
STARHEALTH,22,458.85,11332.504062,63.64,0.22,3.87,24.37,26969.31,57.98,22,23,25,70.54094699635974
RAMCOCEM,22,1090.2,14804.263935999998,70.84,7.83,1.91,24.41,25773.44,42.56,17,26,25,68.26515210762405
BLACKBUCK,23,586.5,7983.323711999999,57.07,-7.01,-0.42,40.99,10661.49,25.12,26,29,17,71.80109205855685
BIRET,23,344.69,19956.628224,67.04,2.97,7.96,16.43,26651.48,25.12,20,19,33,71.57678181464414
CEATLTD,23,3457.8,7388.198055,53.68,-11.5,3.2,34.27,13995.45,47.21,28,24,19,71.93063569347274
DEEDEV,23,280.2,577.2734519999998,63.45,33.81,2.24,24.86,1935.86,70.18,22,26,25,72.85462020992165
ELGIEQUIP,23,519,11321.942352,59.06,3.63,8.79,17.97,16453.92,31.19,24,19,30,73.4723676835846
GOKULAGRO,23,166.2,1270.5874,55.94,-16.26,0.5,36.62,4934.32,74.25,27,28,19,73.48775421665351
GPPL,23,165.99,4491.34983,56.72,-8.94,9.96,21.51,8021.7,44.01,26,18,27,71.6507921399912
INDIAGLYCO,23,845.2,2271.3655689999996,47.57,-20.44,2.71,47.84,5626.37,59.63,32,25,14,71.8083044959329
KRT,23,115.69,10983.864223999997,47.9,-6.22,7.24,NA,51230.71,78.56,32,20,20,72.05497870381029
KRISHANA,23,486.75,817.6087599999998,68.5,-2.12,-14,141.44,2947.4,72.26,19,52,3,72.92001887520878
LINCOLN,23,616.75,619.935768,73.82,25.06,10.39,9.68,1234.44,49.78,14,18,40,71.75789118110396
TORNTPOWER,23,1481.3,36555.402473999995,64.89,14.84,17.29,11.64,74740.14,51.09,21,13,38,71.40720448166029
ALKEM,24,5530,32299.465839999993,69.56,-2.56,3.68,16.51,66187.43,51.2,18,24,33,73.90060357164955
