symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
ORIENTHOT,85,96.39,558.4610879999999,18.42,-16.49,-24.23,-30.27,1721.52,67.56,80,79,91,249.44265692301536
SPIC,85,66.85,633.617082,16.19,-14.56,-26.84,-20.23,1359.11,53.38,85,84,80,248.39561135633224
SUNCLAY,85,1280.6,1153.731547,11.93,3.12,-16.07,-39.36,2820.17,59.09,93,60,96,249.1784641747456
SYMPHONY,85,742.85,1356.1195149999996,8.84,-17.93,-15.16,-34.59,5103.95,73.43,97,58,93,248.32742335542545
UBL,85,1461.7,11263.977288,6.78,-4.7,-16.76,-27.62,38628.18,70.84,99,62,89,249.02877622051233
DELTACORP,86,57.81,1015.9574609999999,18.81,-16.6,-27.66,-26.81,1550.37,34.47,79,85,88,251.59543066316394
EMAMILTD,86,423.95,8357.047671999999,14.29,-15.54,-21.34,-30.33,18505.42,54.84,88,72,91,251.8996472816013
HAPPSTMNDS,86,373.75,3170.975283,18.52,-12.97,-24.28,-33.32,5683.77,44.21,79,79,93,250.7277554041259
JKLAKSHMI,86,621.55,4234.65056,15.19,-19.83,-26.69,-21.22,7716.2,45.12,87,83,81,251.5465394924589
JWL,86,261.88,3546.738462,11.84,-20.92,-18.83,-29.39,11191.98,68.31,94,67,91,251.12979837042764
KIRLFER,86,372.5,3021.289694,12.9,-17.68,-26.69,-17.3,6143.33,50.82,92,83,76,250.75462134446383
NCC,86,151.88,7414.030075,19.51,1.27,-27.6,-27.67,9535.73,22.25,77,85,89,250.571840536612
NELCO,86,628.6,715.943977,19.43,-10.53,-29.18,-26.81,1434.47,50.09,77,87,88,251.89401445545346
PATELENG,86,26.59,1807.632972,18.4,-2.99,-24.72,-30.95,2638.11,31.48,80,79,92,250.90589353105122
PGEL,86,486.85,7861.431869000001,8.8,-17.1,-14.42,-46.95,13891.91,43.41,97,57,98,251.5717551907613
SIGNATURE,86,799.2,3415.422348000001,15.54,-15.66,-23.42,-26.57,11246.04,69.63,86,77,87,250.2861946418808
