symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
BSE,12,2800.9,114080.4,78.69,-3.5,33.62,52.72,114080.4,0,17,9,15,41.75971502119809
CARRARO,12,529.1,938.4084090000001,76.38,-4.69,28.8,58.03,3004.83,68.77,19,11,13,43.9248674032356
DIVGIITTS,12,756.6,917.973888,88.21,28.16,16.84,54.66,2327.52,60.56,10,18,14,42.962563678979436
DREDGECORP,12,968,719.6872690000001,63,12.87,64.46,72.36,2712.73,73.47,29,3,10,41.593931447098605
NYKAA,12,267.53,36693.32079,86.17,0.08,16.24,63.99,76604.01,52.1,11,19,12,42.023156467389434
MBAPL,12,475.45,1056.972551,94.39,19.1,13.11,58.75,4166.23,74.63,6,22,13,41.12414820535018
MUFIN,12,115.26,915.5605679999999,82.48,3.8,34.59,42.79,1995.12,54.11,14,9,19,41.986315262458056
QPOWER,12,902.2,1825.0398530000002,77.92,21.1,15.06,126.2,6995.17,73.91,18,20,3,41.320987785182716
SEAMECLTD,12,1327.6,919.6169840000001,82.83,38.17,34.36,40.75,3371.03,72.72,14,9,20,42.760917716540604
TITAN,12,4342.6,181515.38829,97.43,11.13,19.67,35.76,385382.99,52.9,4,16,22,41.88961470189058
WHEELS,12,904.45,925.0635789999999,82.83,4.98,23.39,50.12,2218.91,58.31,14,14,16,43.65240626127374
ANURAS,13,1251.7,5843.228688,80.73,2.46,10.79,96.85,14279.64,59.08,16,24,6,45.029267541674464
AXISCADES,13,1470.9,2643.8190450000006,72.4,3.79,18.07,104.43,6302.31,58.05,22,17,5,43.95915521740737
CANFINHOME,13,887,8266.395745000002,79.42,0.28,23.6,53.5,11807.45,29.99,16,14,15,44.66943769441237
HEG,13,583.35,4936.037437,73.59,10.55,26.27,70.3,11251.51,56.13,22,12,10,44.220374585286685
JBCHEPHARM,13,2081.4,17113.360056,95.9,17.51,20.71,30.75,33411.48,48.78,5,15,26,45.49158886098593
PRICOLLTD,13,617.7,4628.979498000001,76.38,-0.92,34.33,48.59,7528.02,38.51,19,9,16,44.83184295680017
ROSSTECH,13,724.55,686.3875200000001,81.04,-6.37,7.84,155.53,2723.76,74.8,15,28,2,45.28527999506361
SAILIFE,13,964.5,13324.660899999999,94.52,9.06,16.95,35.77,20405.3,34.7,6,18,22,46.320010098828604
SANDUMA,13,219.87,2751.746888,65.25,3,52.92,56.49,10673.96,74.22,27,5,14,45.71222883835672
SBILIFE,13,2082.8,93325.46607999998,93.35,5.94,15.36,41.52,208968.8,55.34,7,20,19,46.12096591355146
