symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
RUSTOMJEE,74,526.7,1689.7789980000005,21.21,-11.55,-17.28,-21.91,6660.54,74.63,73,74,70,217.0956424677278
LLOYDSENGG,74,56.02,3911.624024,32.08,-4.84,-30.36,-17.56,7703.08,49.22,61,93,64,217.43631750140997
ORCHPHARMA,74,758.95,1160.6502959999998,11.13,5.39,0.38,-58,3848.31,69.84,85,34,99,218.2347349291891
ROLEXRINGS,74,128.77,1636.5753,31.12,-0.85,-16.6,-29.99,3508.2,53.35,62,73,83,217.05297205946857
SPAL,74,702.4,674.1016830000001,24.31,-2.71,-17.78,-23.32,1770.69,61.93,70,75,73,217.6722487349605
STOVEKRAFT,74,573.75,840.0431,10.85,-13.19,-5.27,-34.44,1900.55,55.8,86,45,87,217.68386144488656
VENUSPIPES,74,1160.4,1241.724636,26.83,-11.06,-20.38,-22.94,2408.31,48.44,67,80,72,218.39899629104525
EIEL,75,205.91,1080.380028,21.1,-16.13,-11.38,-33.98,3614.52,70.11,74,60,86,220.3162404828299
NILKAMAL,75,1379.2,728.7845579999998,29.5,-11.57,-20.13,-27.71,2055.23,64.54,64,79,79,222.08164057604338
OPTIEMUS,75,504.7,1229.3518139999999,30.61,-25.21,-18.79,-27.72,4459.02,72.43,63,77,79,218.4815292486527
RECLTD,75,356.8,44505.73979099999,12.09,-5.5,-9.36,-28.74,93953.43,52.63,84,54,81,218.88731494391527
SHAREINDIA,75,166.6,1873.129832,21.63,23.64,-7.97,-45.78,3645.64,48.62,73,51,95,219.08909628007896
SINDHUTRAD,75,19.73,760.3237950000001,25.88,-30.09,-44.8,-10.28,3037.65,74.97,68,99,52,219.51780043708484
TIRUMALCHM,75,236.01,1818.295869,24.86,-17.82,-16.56,-26.43,2846.87,36.13,69,72,77,218.61499140321467
TRITURBINE,75,538.25,7558.71264,24.59,2.8,-16.63,-27.4,17116.65,55.84,70,73,78,220.99746776695076
TIINDIA,75,2614.1,28292.299007999998,16.53,-15.24,-12.51,-26.9,50594.24,44.08,78,64,78,219.78559069118938
UCOBANK,75,29.45,3337.4445199999986,13.52,-3.82,-9.33,-32.87,36877.84,90.95,82,54,85,220.88154746052135
VGUARD,75,328,6695.153687999999,18.67,-11.38,-16.84,-22.37,14342.66,53.32,76,73,71,220.08493623887705
VERANDA,75,188.13,1209.051855,15.92,-16.6,-17.12,-21.15,1830.51,33.95,78,74,69,221.0381542564858
WALCHANNAG,75,189.01,877.7498400000001,28.83,-3.13,-15.47,-34.49,1283.26,31.6,64,70,87,221.41062368796216
ALOKINDS,76,16.03,1992.315,22.19,-8.08,-20.41,-23.74,7969.26,75,72,80,73,225.16464704223588
ASALCBR,76,955.2,703.151204,9.48,0.35,-20.33,-13.42,1813.18,61.22,88,79,56,223.5854025018799
BALRAMCHIN,76,444.4,5131.063434,16.64,-2.75,-24.68,-16.12,8979.81,42.86,78,86,61,225.15660473978568
BLS,76,321.1,3905.4879359999995,17.99,-3.03,-11.71,-33.52,13189.76,70.39,76,61,86,223.51274390196141
BLUEDART,76,5521,3278.1125,14.05,-3.37,-17.57,-20.76,13112.45,75,81,74,68,223.98154648138865
DLINKINDIA,76,420.2,731.707322,29.47,-13.49,-26.27,-23.12,1493.89,51.02,64,88,72,224.53854943445293
FINPIPE,76,174.01,5137.793374,26.98,-12.73,-17.58,-30.82,10809.58,52.47,67,75,83,224.79261058324977
KENNAMET,76,2095.2,1151.22,13.5,0.4,-11.24,-29.19,4604.88,75,82,60,82,223.33307970532024
SPARC,76,134.45,1497.8831269999998,25.47,1.74,-15.36,-32.96,4363.19,65.67,69,69,85,223.33211682620004
SUDARSCHEM,76,947.7,6848.603674,18.8,-29.59,-24.46,-17.14,7459.54,8.19,76,86,63,225.06656907977188
SURAKSHA,76,269.65,714.89224,23.37,-9.36,-16.7,-28.22,1401.2,48.98,71,73,80,223.66576090362202
TIPSMUSIC,76,552.25,2533.6664849999997,23.48,-4.52,-17.31,-27.45,7067.41,64.15,71,74,79,223.40147320309563
ATGL,77,566.7,15706.212480000002,12.85,-11.61,-14.15,-25.54,62326.24,74.8,83,67,76,225.61113538272338
AWHCL,77,485.35,742.1142779999999,27.27,-12.15,-28.05,-21.24,1376.58,46.09,67,90,69,225.71014391292766
CELLO,77,542.15,2994.3725,19.09,-5.63,-15.47,-28.35,11977.49,75,76,70,80,225.53040216897483
FINKURVE,77,99.4,606.458125,9.14,-12.86,-16.61,-18.56,1386.19,56.25,88,73,65,226.2925468417095
GEOJITFSL,77,74.23,999.9854550000001,22.78,-5.02,-13.64,-35.82,2071.65,51.73,72,67,88,226.66677401225093
GODREJPROP,77,2004.4,31978.437675,14.03,-1.28,-13,-28.07,60393.65,47.05,81,65,80,225.94008461664998
HITECH,77,92.07,1052.489907,12.77,-22.21,-7.22,-42.33,1867.11,43.63,83,50,94,226.34670071437523
JKIL,77,582.75,2357.775632,17.77,-9.57,-19.05,-23.62,4418.62,46.64,76,77,73,226.63140274470484
ORIENTELEC,77,176.13,2318.711185,20.88,-10.63,-20.87,-24.39,3758.65,38.31,74,80,74,228.603889702657
PNCINFRA,77,251.68,2834.064876,15.48,-14.55,-17.75,-24.55,6451.32,56.07,79,75,74,228.3898752780737
RIIL,77,805.7,663.985932,14.86,-8.12,-15.47,-25.6,1216.76,45.43,80,70,76,225.83912447910137
SAPPHIRE,77,257.05,6114.883374000001,23.26,-13.28,-23.67,-21.99,8271.18,26.07,71,85,70,226.45292760684293
5PAISA,78,333.85,701.6461499999999,23.09,-4.4,-19.28,-28.68,1043.34,32.75,71,78,81,229.86563939325103
63MOONS,78,719,1803.2027979999998,23.75,-15.67,-29.48,-20.5,3316.54,45.63,70,92,68,230.20163573912768
AFCONS,78,386.9,7083.3444660000005,5.52,-14.84,-9.77,-29.05,14215.02,50.17,93,55,82,230.05596634525003
BFUTILITIE,78,664.45,1081.082464,21.58,-16.8,-16.33,-32.03,2497.88,56.72,73,72,85,229.2116150598446
GALAXYSURF,78,2049.4,2116.7716670000004,11.83,-7.96,-20.84,-18.63,7276.63,70.91,84,80,65,230.11411713560597
HEIDELBERG,78,174.76,1211.966218,7.88,-14,-20.07,-15.9,3959.38,69.39,90,79,61,229.69931656535906
HONAUT,78,32805,7247.455,13.93,-8.8,-19.95,-21.81,28989.82,75,81,79,70,229.55337898702845
PANAMAPET,78,284.7,643.70026,14.13,0.64,-19.71,-22.22,1717.45,62.52,81,78,71,230.17043587072314
SHK,78,179.18,1118.6869530000001,28.12,-24.2,-23.68,-27.37,2478.81,54.87,65,85,78,228.7664837973117
SHILPAMED,78,321.15,3500.8308920000004,23.65,-17.52,-28.39,-21.24,6276.14,44.22,71,90,69,230.0674304228287
SONATSOFTW,78,359.85,7255.541117,21.12,3.32,-12.34,-39.96,10100.99,28.17,73,63,93,229.61240218464093
