symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
STOVEKRAFT,57,612.9,897.97604,19.51,-4.02,12.27,-22.01,2031.62,55.8,75,26,73,173.22360374263224
WIPRO,57,249.53,71598.37800999999,24.59,0.05,-0.06,-12.78,261785.66,72.65,70,45,58,172.6056683433372
AARTIPHARM,58,700.65,3629.878896,35.7,-16.72,-23.09,12.21,6354.83,42.88,57,91,27,174.63093151622317
CAMLINFINE,58,164.92,1576.488292,24.4,-19.02,-29.04,41.85,3096.01,49.08,70,95,10,175.02827111110525
CASTROLIND,58,192.25,9313.880799999999,33.17,-2.52,-11.09,-3.23,19007.92,51,60,70,44,173.91249132104016
GHCL,58,575.2,4477.602708,23.91,4.2,-6.12,-3.7,5526.54,18.98,70,58,46,174.15198124190135
GLAXO,58,2569.5,10884.38,40.66,-7.74,-22.1,6.46,43537.52,75,53,90,33,175.13112788419213
IRMENERGY,58,289.2,592.893785,32.88,9.36,2.26,-22.04,1187.45,50.07,60,41,73,174.1900796587305
LICHSGFIN,58,549.1,16527.674152,39.66,-1.1,-7.94,-13.49,30182.02,45.24,54,63,59,175.3145851172025
MHRIL,58,317.45,2129.5047600000007,49.27,-9.27,-12.15,-13.35,6402.6,66.74,44,72,59,174.97178697285278
OPTIEMUS,58,563.85,1364.9012719999998,42.85,1.39,-7.94,-15.49,4974.13,72.56,50,63,62,174.87932095085517
RCF,58,141.35,1949.535,41.16,-5.09,-5.49,-17.99,7798.14,75,52,57,67,174.9593826270367
VAIBHAVGBL,58,239.75,1714.10601,38.46,17.37,-5.65,-15.92,4003.05,57.18,55,57,63,174.85494016521324
VTL,58,437.1,4528.848705,37.47,3,-11.11,-7.58,12653.95,64.21,56,70,50,175.47357067219173
ANDHRSUGAR,59,77.06,524.6588360000001,31.29,2.15,3.81,-23.32,1048.06,49.94,62,39,75,175.9114597666479
