symbol,ptile,cmp,ff_mcap,52w Index,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
KERNEX,27,1033.3,1229.88885,42.78,26.77,26,1731.75,28.98,46,33,14,92.44297710899916
NXST,27,148.25,17451.326760000004,86.1,12.36,7.22,22459.88,22.3,8,56,28,92.25843880203186
RSYSTEMS,27,461.6,2629.014249,66.11,40.05,-11.16,5464.59,51.89,23,20,48,90.58945735525484
TITAN,27,3628.8,151737.28464000003,74.71,19.04,1.79,322159.84,52.9,16,44,32,91.86040775929786
UJJIVANSFB,27,42.68,8264,56.28,35.54,-2.8,8264,0,31,24,37,91.63919307018632
AVANTEL,28,149.76,2494.0011299999996,59.02,43.6,-11.3,3968.18,37.15,29,17,49,94.28378502239988
DATAPATTNS,28,2402.8,7746.908897,54.86,70.22,-14.32,13451.83,42.41,33,7,54,94.54738493053786
GOPAL,28,368.15,850.1508410000001,43.13,36.88,8.98,4587.97,81.47,45,22,26,93.76304752065646
ICICIBANK,28,1397.8,998148.15,67.45,15.48,13.72,998148.15,0,21,50,22,93.54956074774421
INDRAMEDCO,28,439,1971.9756,49.76,28.97,10.93,4024.44,51,39,31,24,93.54151628915552
NDRINVIT,28,112.75,2661.16384,100,5.37,11.63,4465.04,40.4,1,70,24,94.60518378766876
PREMEXPLN,28,503.65,1588.595856,54.35,51.98,-10.88,2707.68,41.33,34,12,47,93.35105675410824
SHANTIGEAR,28,559.3,1267.049616,61.02,34.74,-7.05,4290.72,70.47,26,25,42,93.44596381762615
SDBL,28,137.23,1624.871874,53.68,19.54,22.31,2679.98,39.37,34,43,17,94.18144835577411
SPLPETRO,28,764.15,5138.4187680000005,62.69,38.82,-11.11,14369.18,64.24,25,21,48,94.59973725959475
WELCORP,28,842.4,11138.649984,55.81,18.87,18.92,22206.24,49.84,32,44,18,94.16437392072334
WOCKPHARMA,28,1427.5,11808.477771,53.66,16.67,35.87,23194.81,49.09,34,48,10,92.63232749632348
BAJAJHLDNG,29,12770,68983.751982,56.81,13.92,26.97,142117.33,51.46,30,53,13,96.55073122768474
DCMSHRIRAM,29,1241.1,6479.7192000000005,56.44,22.46,7.67,19354,66.52,31,39,27,96.4177097118885
HEG,29,462,3942.460632,44.97,29.07,15.59,8915.56,55.78,43,31,21,94.67149663558715
KSB,29,825.9,4340.9178,64.5,35.39,-11.05,14373.9,69.8,24,24,48,95.60913988606745
MIDHANI,29,361.25,1759.5916,57.23,47.64,-12.9,6767.66,74,30,15,51,96.1457682246413
OSWALAGRO,29,78.13,556.985814,38.71,31.8,18.16,1048.74,46.89,51,27,19,96.5900116735654
